
2024/11/10 (15:44:47) | ===> btop++ v.1.3.2
2024/11/10 (15:44:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/11/10 (15:45:03) | ===> btop++ v.1.3.2
2024/11/10 (15:45:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/10 (15:47:01) | ===> btop++ v.1.3.2
2024/11/10 (15:47:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/10 (15:48:07) | ===> btop++ v.1.3.2
2024/11/10 (15:48:07) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/11 (20:38:47) | ===> btop++ v.1.3.2
2024/11/11 (20:38:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/11 (21:21:48) | ===> btop++ v.1.3.2
2024/11/11 (21:21:48) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/12 (15:08:14) | ===> btop++ v.1.3.2
2024/11/12 (15:08:14) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/11/28 (20:45:34) | ===> btop++ v.1.3.2
2024/11/28 (20:45:34) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/12/01 (04:22:54) | ===> btop++ v.1.3.2
2024/12/01 (04:22:54) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/12/03 (08:43:02) | ===> btop++ v.1.3.2
2024/12/03 (08:43:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/12/04 (06:10:10) | ===> btop++ v.1.4.0
2024/12/04 (06:10:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/04 (06:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:33:45) | ===> btop++ v.1.4.0
2024/12/06 (10:33:45) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/12/06 (10:33:50) | ===> btop++ v.1.4.0
2024/12/06 (10:33:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/06 (10:33:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (10:34:36) | ===> btop++ v.1.4.0
2024/12/06 (10:34:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/06 (10:34:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (19:59:23) | ===> btop++ v.1.4.0
2024/12/09 (19:59:23) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/09 (19:59:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (23:41:06) | ===> btop++ v.1.4.0
2024/12/11 (23:41:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/11 (23:41:06) | WARNING: Intel GPU: Failed to initialize PMU
